a=	-1.000000	b=	+1.000000	n=	+40	h=	+0.050000
x	g(x)	g'(x)	g''(x)
-1.000000	-0.068707	+0.002393	+0.000000
-0.999000	-0.068705	+0.002393	+0.000000
-0.998000	-0.068702	+0.002393	+0.000000
-0.997000	-0.068700	+0.002393	+0.000000
-0.996000	-0.068698	+0.002393	+0.000000
-0.995000	-0.068695	+0.002393	+0.000000
-0.994000	-0.068693	+0.002393	+0.000000
-0.993000	-0.068690	+0.002393	+0.000000
-0.992000	-0.068688	+0.002393	+0.000000
-0.991000	-0.068686	+0.002393	+0.000000
-0.990000	-0.068683	+0.002393	+0.000000
-0.989000	-0.068681	+0.002393	+0.000000
-0.988000	-0.068679	+0.002393	+0.000000
-0.987000	-0.068676	+0.002393	+0.000000
-0.986000	-0.068674	+0.002393	+0.000000
-0.985000	-0.068671	+0.002393	+0.000000
-0.984000	-0.068669	+0.002393	+0.000000
-0.983000	-0.068667	+0.002393	+0.000000
-0.982000	-0.068664	+0.002393	+0.000000
-0.981000	-0.068662	+0.002393	+0.000000
-0.980000	-0.068659	+0.002393	+0.000000
-0.979000	-0.068657	+0.002393	+0.000000
-0.978000	-0.068655	+0.002393	+0.000000
-0.977000	-0.068652	+0.002393	+0.000000
-0.976000	-0.068650	+0.002393	+0.000000
-0.975000	-0.068647	+0.002393	+0.000000
-0.974000	-0.068645	+0.002393	+0.000000
-0.973000	-0.068643	+0.002393	+0.000000
-0.972000	-0.068640	+0.002393	+0.000000
-0.971000	-0.068638	+0.002393	+0.000000
-0.970000	-0.068635	+0.002393	+0.000000
-0.969000	-0.068633	+0.002393	+0.000000
-0.968000	-0.068631	+0.002393	+0.000000
-0.967000	-0.068628	+0.002393	+0.000000
-0.966000	-0.068626	+0.002393	+0.000000
-0.965000	-0.068623	+0.002393	+0.000000
-0.964000	-0.068621	+0.002393	+0.000000
-0.963000	-0.068619	+0.002393	+0.000000
-0.962000	-0.068616	+0.002393	+0.000000
-0.961000	-0.068614	+0.002393	+0.000000
-0.960000	-0.068612	+0.002393	+0.000000
-0.959000	-0.068609	+0.002393	+0.000000
-0.958000	-0.068607	+0.002393	+0.000000
-0.957000	-0.068604	+0.002393	+0.000000
-0.956000	-0.068602	+0.002393	+0.000000
-0.955000	-0.068600	+0.002393	+0.000000
-0.954000	-0.068597	+0.002393	+0.000000
-0.953000	-0.068595	+0.002393	+0.000000
-0.952000	-0.068592	+0.002393	+0.000000
-0.951000	-0.068590	+0.002393	+0.000000
-0.950000	-0.068588	+0.002393	+0.000000
-0.949000	-0.068583	+0.004371	+0.000000
-0.948000	-0.068579	+0.004371	+0.000000
-0.947000	-0.068574	+0.004371	+0.000000
-0.946000	-0.068570	+0.004371	+0.000000
-0.945000	-0.068566	+0.004371	+0.000000
