a=	+0.999050	b=	+1.000000	n=	+20	r=	+3.500000
x	g(x)	g'(x)	g''(x)
+0.999050	+0.840957	+0.539783	-3.589756
+0.999051	+0.840958	+0.541101	-3.577673
+0.999052	+0.840958	+0.541098	-3.565590
+0.999053	+0.840959	+0.541094	-3.553508
+0.999054	+0.840959	+0.541091	-3.541425
+0.999055	+0.840960	+0.541087	-3.529343
+0.999056	+0.840960	+0.541084	-3.517260
+0.999057	+0.840961	+0.541080	-3.505177
+0.999058	+0.840962	+0.541077	-3.493095
+0.999059	+0.840962	+0.541073	-3.481012
+0.999060	+0.840963	+0.541070	-3.468929
+0.999061	+0.840963	+0.541066	-3.456847
+0.999062	+0.840964	+0.541063	-3.444764
+0.999063	+0.840964	+0.541059	-3.432681
+0.999064	+0.840965	+0.541056	-3.420599
+0.999065	+0.840965	+0.541053	-3.408516
+0.999066	+0.840966	+0.541049	-3.396433
+0.999067	+0.840966	+0.541046	-3.384351
+0.999068	+0.840967	+0.541042	-3.372268
+0.999069	+0.840968	+0.541039	-3.360185
+0.999070	+0.840968	+0.541036	-3.348103
+0.999071	+0.840969	+0.541032	-3.336020
+0.999072	+0.840969	+0.541029	-3.323937
+0.999073	+0.840970	+0.541026	-3.311855
+0.999074	+0.840970	+0.541022	-3.299772
+0.999075	+0.840971	+0.541019	-3.287689
+0.999076	+0.840971	+0.541016	-3.275607
+0.999077	+0.840972	+0.541012	-3.263524
+0.999078	+0.840972	+0.541009	-3.251442
+0.999079	+0.840973	+0.541006	-3.239359
+0.999080	+0.840973	+0.541003	-3.227276
+0.999081	+0.840974	+0.541000	-3.215194
+0.999082	+0.840975	+0.540996	-3.203111
+0.999083	+0.840975	+0.540993	-3.191028
+0.999084	+0.840976	+0.540990	-3.178946
+0.999085	+0.840976	+0.540987	-3.166863
+0.999086	+0.840977	+0.540984	-3.154780
+0.999087	+0.840977	+0.540980	-3.142698
+0.999088	+0.840978	+0.540977	-3.130615
+0.999089	+0.840978	+0.540974	-3.118532
+0.999090	+0.840979	+0.540971	-3.106450
+0.999091	+0.840979	+0.540968	-3.094367
+0.999092	+0.840980	+0.540965	-3.082284
+0.999093	+0.840980	+0.540962	-3.070202
+0.999094	+0.840981	+0.540959	-3.058119
+0.999095	+0.840982	+0.540956	-3.046036
+0.999096	+0.840982	+0.540953	-3.033954
+0.999097	+0.840983	+0.540950	-3.021871
+0.999098	+0.840983	+0.540947	-3.009789
+0.999099	+0.840984	+0.540944	-2.997706
+0.999100	+0.840984	+0.540941	-2.985623
+0.999101	+0.840985	+0.540938	-2.973541
+0.999102	+0.840985	+0.540935	-2.961458
+0.999103	+0.840986	+0.540932	-2.949375
+0.999104	+0.840986	+0.540929	-2.937293
+0.999105	+0.840987	+0.540926	-2.925210
+0.999106	+0.840988	+0.540923	-2.913127
+0.999107	+0.840988	+0.540920	-2.901045
+0.999108	+0.840989	+0.540917	-2.888962
+0.999109	+0.840989	+0.540914	-2.876879
+0.999110	+0.840990	+0.540911	-2.864797
+0.999111	+0.840990	+0.540909	-2.852714
+0.999112	+0.840991	+0.540906	-2.840631
+0.999113	+0.840991	+0.540903	-2.828549
+0.999114	+0.840992	+0.540900	-2.816466
+0.999115	+0.840992	+0.540897	-2.804383
+0.999116	+0.840993	+0.540894	-2.792301
+0.999117	+0.840993	+0.540892	-2.780218
+0.999118	+0.840994	+0.540889	-2.768135
+0.999119	+0.840995	+0.540886	-2.756053
+0.999120	+0.840995	+0.540883	-2.743970
+0.999121	+0.840996	+0.540881	-2.731888
+0.999122	+0.840996	+0.540878	-2.719805
+0.999123	+0.840997	+0.540875	-2.707722
+0.999124	+0.840997	+0.540872	-2.695640
+0.999125	+0.840998	+0.540870	-2.683557
+0.999126	+0.840998	+0.540867	-2.671474
+0.999127	+0.840999	+0.540864	-2.659392
+0.999128	+0.840999	+0.540862	-2.647309
+0.999129	+0.841000	+0.540859	-2.635226
+0.999130	+0.841001	+0.540856	-2.623144
+0.999131	+0.841001	+0.540854	-2.611061
+0.999132	+0.841002	+0.540851	-2.598978
+0.999133	+0.841002	+0.540849	-2.586896
+0.999134	+0.841003	+0.540846	-2.574813
+0.999135	+0.841003	+0.540844	-2.562730
+0.999136	+0.841004	+0.540841	-2.550648
+0.999137	+0.841004	+0.540838	-2.538565
+0.999138	+0.841005	+0.540836	-2.526482
+0.999139	+0.841005	+0.540833	-2.514400
+0.999140	+0.841006	+0.540831	-2.502317
+0.999141	+0.841006	+0.540828	-2.490234
+0.999142	+0.841007	+0.540826	-2.478152
+0.999143	+0.841008	+0.540823	-2.466069
+0.999144	+0.841008	+0.540821	-2.453987
+0.999145	+0.841009	+0.540818	-2.441904
+0.999146	+0.841009	+0.540816	-2.429821
+0.999147	+0.841010	+0.540814	-2.417739
+0.999148	+0.841010	+0.540811	-2.405656
+0.999149	+0.841011	+0.540809	-2.393573
+0.999150	+0.841011	+0.540806	-2.381491
+0.999151	+0.841012	+0.540804	-2.369408
+0.999152	+0.841012	+0.540802	-2.357325
+0.999153	+0.841013	+0.540799	-2.345243
+0.999154	+0.841013	+0.540797	-2.333160
+0.999155	+0.841014	+0.540795	-2.321077
+0.999156	+0.841015	+0.540792	-2.308995
+0.999157	+0.841015	+0.540790	-2.296912
+0.999158	+0.841016	+0.540788	-2.284829
+0.999159	+0.841016	+0.540785	-2.272747
+0.999160	+0.841017	+0.540783	-2.260664
+0.999161	+0.841017	+0.540781	-2.248581
+0.999162	+0.841018	+0.540779	-2.236499
+0.999163	+0.841018	+0.540776	-2.224416
+0.999164	+0.841019	+0.540774	-2.212334
+0.999165	+0.841019	+0.540772	-2.200251
+0.999166	+0.841020	+0.540770	-2.188168
+0.999167	+0.841021	+0.540768	-2.176086
+0.999168	+0.841021	+0.540766	-2.164003
+0.999169	+0.841022	+0.540763	-2.151920
+0.999170	+0.841022	+0.540761	-2.139838
+0.999171	+0.841023	+0.540759	-2.127755
+0.999172	+0.841023	+0.540757	-2.115672
+0.999173	+0.841024	+0.540755	-2.103590
+0.999174	+0.841024	+0.540753	-2.091507
+0.999175	+0.841025	+0.540751	-2.079424
+0.999176	+0.841025	+0.540749	-2.067342
+0.999177	+0.841026	+0.540747	-2.055259
+0.999178	+0.841026	+0.540744	-2.043176
+0.999179	+0.841027	+0.540742	-2.031094
+0.999180	+0.841028	+0.540740	-2.019011
+0.999181	+0.841028	+0.540738	-2.006928
+0.999182	+0.841029	+0.540736	-1.994846
+0.999183	+0.841029	+0.540734	-1.982763
+0.999184	+0.841030	+0.540732	-1.970680
+0.999185	+0.841030	+0.540730	-1.958598
+0.999186	+0.841031	+0.540729	-1.946515
+0.999187	+0.841031	+0.540727	-1.934433
+0.999188	+0.841032	+0.540725	-1.922350
+0.999189	+0.841032	+0.540723	-1.910267
+0.999190	+0.841033	+0.540721	-1.898185
+0.999191	+0.841033	+0.540719	-1.886102
+0.999192	+0.841034	+0.540717	-1.874019
+0.999193	+0.841035	+0.540715	-1.861937
+0.999194	+0.841035	+0.540713	-1.849854
+0.999195	+0.841036	+0.540712	-1.837771
+0.999196	+0.841036	+0.540710	-1.825689
+0.999197	+0.841037	+0.540708	-1.813606
+0.999198	+0.841037	+0.540706	-1.801523
+0.999199	+0.841038	+0.540704	-1.789441
+0.999200	+0.841038	+0.540702	-1.777358
+0.999201	+0.841039	+0.540701	-1.765275
+0.999202	+0.841039	+0.540699	-1.753193
+0.999203	+0.841040	+0.540697	-1.741110
+0.999204	+0.841041	+0.540695	-1.729027
