a=	+0.000000	b=	+7.000000	n=	+56	h=	+0.125000
x	g(x)	g'(x)	g''(x)
+0.000000	+0.000000	+0.999999	+0.000000
+0.010000	+0.010000	+0.999949	-0.009987
+0.020000	+0.019999	+0.999799	-0.019974
+0.030000	+0.029995	+0.999549	-0.029961
+0.040000	+0.039989	+0.999200	-0.039948
+0.050000	+0.049979	+0.998750	-0.049935
+0.060000	+0.059964	+0.998201	-0.059922
+0.070000	+0.069943	+0.997552	-0.069909
+0.080000	+0.079915	+0.996803	-0.079896
+0.090000	+0.089879	+0.995954	-0.089883
+0.100000	+0.099833	+0.995005	-0.099870
+0.110000	+0.109778	+0.993957	-0.109857
+0.120000	+0.119712	+0.992808	-0.119844
+0.130000	+0.129634	+0.991560	-0.129753
+0.140000	+0.139543	+0.990213	-0.139584
+0.150000	+0.149438	+0.988768	-0.149415
+0.160000	+0.159318	+0.987225	-0.159246
+0.170000	+0.169182	+0.985583	-0.169077
+0.180000	+0.179029	+0.983843	-0.178908
+0.190000	+0.188859	+0.982005	-0.188739
+0.200000	+0.198669	+0.980069	-0.198571
+0.210000	+0.208460	+0.978034	-0.208402
+0.220000	+0.218230	+0.975900	-0.218233
+0.230000	+0.227978	+0.973669	-0.228064
+0.240000	+0.237703	+0.971339	-0.237895
+0.250000	+0.247404	+0.968911	-0.247726
+0.260000	+0.257081	+0.966386	-0.257248
+0.270000	+0.266731	+0.963766	-0.266770
+0.280000	+0.276356	+0.961051	-0.276292
+0.290000	+0.285952	+0.958240	-0.285814
+0.300000	+0.295520	+0.955335	-0.295336
+0.310000	+0.305058	+0.952334	-0.304858
+0.320000	+0.314566	+0.949237	-0.314379
+0.330000	+0.324043	+0.946046	-0.323901
+0.340000	+0.333487	+0.942759	-0.333423
+0.350000	+0.342898	+0.939378	-0.342945
+0.360000	+0.352274	+0.935900	-0.352467
+0.370000	+0.361615	+0.932328	-0.361989
+0.380000	+0.370920	+0.928661	-0.371282
+0.390000	+0.380188	+0.924903	-0.380346
+0.400000	+0.389418	+0.921054	-0.389410
+0.410000	+0.398609	+0.917115	-0.398474
+0.420000	+0.407760	+0.913085	-0.407538
+0.430000	+0.416871	+0.908964	-0.416602
+0.440000	+0.425939	+0.904753	-0.425666
+0.450000	+0.434965	+0.900451	-0.434730
+0.460000	+0.443948	+0.896058	-0.443794
+0.470000	+0.452886	+0.891575	-0.452858
+0.480000	+0.461779	+0.887001	-0.461922
+0.490000	+0.470626	+0.882337	-0.470986
+0.500000	+0.479426	+0.877581	-0.480050
+0.510000	+0.488177	+0.872739	-0.488515
+0.520000	+0.496880	+0.867811	-0.496980
+0.530000	+0.505533	+0.862799	-0.505444
+0.540000	+0.514136	+0.857702	-0.513909
+0.550000	+0.522687	+0.852521	-0.522374
+0.560000	+0.531186	+0.847255	-0.530839
+0.570000	+0.539632	+0.841904	-0.539303
