a=	+0.000000	b=	+1.000000	n=	+40	h=	+0.025000
x	g(x)	g'(x)	g''(x)
+0.000000	+0.000000	+0.014434	+0.000000
+0.010000	+0.000161	+0.019506	+1.014359
+0.020000	+0.000424	+0.034721	+2.028719
+0.030000	+0.000887	+0.058472	+2.400000
+0.040000	+0.001587	+0.081113	+2.128203
+0.050000	+0.002500	+0.101036	+1.856406
+0.060000	+0.003604	+0.119965	+1.929234
+0.070000	+0.004902	+0.139621	+2.002062
+0.080000	+0.006399	+0.159890	+2.028719
+0.090000	+0.008099	+0.180080	+2.009205
+0.100000	+0.010000	+0.200074	+1.989690
+0.110000	+0.012100	+0.219997	+1.994919
+0.120000	+0.014400	+0.239973	+2.000148
+0.130000	+0.016900	+0.259992	+2.002062
+0.140000	+0.019600	+0.280006	+2.000661
+0.150000	+0.022500	+0.300005	+1.999260
+0.160000	+0.025600	+0.320000	+1.999635
+0.170000	+0.028900	+0.339998	+2.000011
+0.180000	+0.032400	+0.359999	+2.000148
+0.190000	+0.036100	+0.380000	+2.000047
+0.200000	+0.040000	+0.400000	+1.999947
+0.210000	+0.044100	+0.420000	+1.999974
+0.220000	+0.048400	+0.440000	+2.000001
+0.230000	+0.052900	+0.460000	+2.000011
+0.240000	+0.057600	+0.480000	+2.000003
+0.250000	+0.062500	+0.500000	+1.999996
+0.260000	+0.067600	+0.520000	+1.999998
+0.270000	+0.072900	+0.540000	+2.000000
+0.280000	+0.078400	+0.560000	+2.000001
+0.290000	+0.084100	+0.580000	+2.000000
+0.300000	+0.090000	+0.600000	+2.000000
+0.310000	+0.096100	+0.620000	+2.000000
+0.320000	+0.102400	+0.640000	+2.000000
+0.330000	+0.108900	+0.660000	+2.000000
+0.340000	+0.115600	+0.680000	+2.000000
+0.350000	+0.122500	+0.700000	+2.000000
+0.360000	+0.129600	+0.720000	+2.000000
+0.370000	+0.136900	+0.740000	+2.000000
+0.380000	+0.144400	+0.760000	+2.000000
+0.390000	+0.152100	+0.780000	+2.000000
+0.400000	+0.160000	+0.800000	+2.000000
+0.410000	+0.168100	+0.820000	+2.000000
+0.420000	+0.176400	+0.840000	+2.000000
+0.430000	+0.184900	+0.860000	+2.000000
+0.440000	+0.193600	+0.880000	+2.000000
+0.450000	+0.202500	+0.900000	+2.000000
+0.460000	+0.211600	+0.920000	+2.000000
+0.470000	+0.220900	+0.940000	+2.000000
+0.480000	+0.230400	+0.960000	+2.000000
+0.490000	+0.240100	+0.980000	+2.000000
+0.500000	+0.250000	+1.000000	+2.000000
+0.510000	+0.260100	+1.020000	+2.000000
+0.520000	+0.270400	+1.040000	+2.000000
+0.530000	+0.280900	+1.060000	+2.000000
+0.540000	+0.291600	+1.080000	+2.000000
+0.550000	+0.302500	+1.100000	+2.000000
+0.560000	+0.313600	+1.120000	+2.000000
+0.570000	+0.324900	+1.140000	+2.000000
+0.580000	+0.336400	+1.160000	+2.000000
+0.590000	+0.348100	+1.180000	+2.000000
+0.600000	+0.360000	+1.200000	+2.000000
+0.610000	+0.372100	+1.220000	+2.000000
+0.620000	+0.384400	+1.240000	+2.000000
+0.630000	+0.396900	+1.260000	+2.000000
+0.640000	+0.409600	+1.280000	+2.000000
+0.650000	+0.422500	+1.300000	+2.000000
+0.660000	+0.435600	+1.320000	+2.000000
+0.670000	+0.448900	+1.340000	+2.000000
+0.680000	+0.462400	+1.360000	+2.000000
+0.690000	+0.476100	+1.380000	+2.000000
+0.700000	+0.490000	+1.400000	+2.000000
+0.710000	+0.504100	+1.420000	+2.000000
+0.720000	+0.518400	+1.440000	+2.000001
+0.730000	+0.532900	+1.460000	+2.000000
+0.740000	+0.547600	+1.480000	+1.999998
+0.750000	+0.562500	+1.500000	+1.999996
+0.760000	+0.577600	+1.520000	+2.000003
+0.770000	+0.592900	+1.540000	+2.000011
+0.780000	+0.608400	+1.560000	+2.000001
+0.790000	+0.624100	+1.580000	+1.999974
+0.800000	+0.640000	+1.600000	+1.999947
+0.810000	+0.656100	+1.620000	+2.000047
+0.820000	+0.672400	+1.640001	+2.000148
+0.830000	+0.688900	+1.660002	+2.000011
+0.840000	+0.705600	+1.680000	+1.999635
+0.850000	+0.722500	+1.699995	+1.999260
+0.860000	+0.739600	+1.719994	+2.000661
+0.870000	+0.756900	+1.740008	+2.002062
+0.880000	+0.774400	+1.760027	+2.000148
+0.890000	+0.792100	+1.780003	+1.994919
+0.900000	+0.810000	+1.799926	+1.989690
+0.910000	+0.828099	+1.819920	+2.009205
+0.920000	+0.846399	+1.840110	+2.028719
+0.930000	+0.864902	+1.860379	+2.002062
+0.940000	+0.883604	+1.880035	+1.929234
+0.950000	+0.902500	+1.898964	+1.856406
+0.960000	+0.921587	+1.918887	+2.128203
+0.970000	+0.940887	+1.941528	+2.400000
+0.980000	+0.960424	+1.965279	+2.028719
+0.990000	+0.980161	+1.980494	+1.014359
+1.000000	+1.000000	+1.985566	+0.000000
