a=	+0.999050	b=	+1.000000	n=	+20	r=	+3.500000
x	g(x)	g'(x)	g''(x)
+0.999050	+0.997152	+3.002773	+23.914953
+0.999051	+0.997155	+2.994364	+23.835394
+0.999052	+0.997158	+2.994388	+23.755835
+0.999053	+0.997161	+2.994412	+23.676275
+0.999054	+0.997164	+2.994435	+23.596716
+0.999055	+0.997167	+2.994459	+23.517157
+0.999056	+0.997170	+2.994482	+23.437598
+0.999057	+0.997173	+2.994506	+23.358039
+0.999058	+0.997176	+2.994529	+23.278480
+0.999059	+0.997179	+2.994552	+23.198921
+0.999060	+0.997182	+2.994576	+23.119361
+0.999061	+0.997185	+2.994599	+23.039802
+0.999062	+0.997188	+2.994622	+22.960243
+0.999063	+0.997191	+2.994645	+22.880684
+0.999064	+0.997194	+2.994667	+22.801125
+0.999065	+0.997197	+2.994690	+22.721566
+0.999066	+0.997200	+2.994713	+22.642007
+0.999067	+0.997203	+2.994735	+22.562447
+0.999068	+0.997206	+2.994758	+22.482888
+0.999069	+0.997209	+2.994780	+22.403329
+0.999070	+0.997212	+2.994803	+22.323770
+0.999071	+0.997215	+2.994825	+22.244211
+0.999072	+0.997218	+2.994847	+22.164652
+0.999073	+0.997221	+2.994869	+22.085093
+0.999074	+0.997224	+2.994891	+22.005533
+0.999075	+0.997227	+2.994913	+21.925974
+0.999076	+0.997230	+2.994935	+21.846415
+0.999077	+0.997233	+2.994957	+21.766856
+0.999078	+0.997236	+2.994979	+21.687297
+0.999079	+0.997239	+2.995000	+21.607738
+0.999080	+0.997242	+2.995022	+21.528178
+0.999081	+0.997245	+2.995044	+21.448619
+0.999082	+0.997248	+2.995065	+21.369060
+0.999083	+0.997251	+2.995086	+21.289501
+0.999084	+0.997254	+2.995107	+21.209942
+0.999085	+0.997257	+2.995129	+21.130383
+0.999086	+0.997260	+2.995150	+21.050824
+0.999087	+0.997263	+2.995171	+20.971264
+0.999088	+0.997266	+2.995192	+20.891705
+0.999089	+0.997269	+2.995213	+20.812146
+0.999090	+0.997272	+2.995233	+20.732587
+0.999091	+0.997275	+2.995254	+20.653028
+0.999092	+0.997278	+2.995275	+20.573469
+0.999093	+0.997281	+2.995295	+20.493910
+0.999094	+0.997284	+2.995316	+20.414350
+0.999095	+0.997287	+2.995336	+20.334791
+0.999096	+0.997290	+2.995356	+20.255232
+0.999097	+0.997293	+2.995377	+20.175673
+0.999098	+0.997296	+2.995397	+20.096114
+0.999099	+0.997299	+2.995417	+20.016555
+0.999100	+0.997302	+2.995437	+19.936996
+0.999101	+0.997305	+2.995457	+19.857436
+0.999102	+0.997308	+2.995476	+19.777877
+0.999103	+0.997311	+2.995496	+19.698318
+0.999104	+0.997314	+2.995516	+19.618759
+0.999105	+0.997317	+2.995535	+19.539200
+0.999106	+0.997320	+2.995555	+19.459641
+0.999107	+0.997323	+2.995574	+19.380081
+0.999108	+0.997326	+2.995594	+19.300522
+0.999109	+0.997329	+2.995613	+19.220963
+0.999110	+0.997332	+2.995632	+19.141404
+0.999111	+0.997335	+2.995651	+19.061845
+0.999112	+0.997338	+2.995670	+18.982286
+0.999113	+0.997341	+2.995689	+18.902727
+0.999114	+0.997344	+2.995708	+18.823167
+0.999115	+0.997347	+2.995727	+18.743608
+0.999116	+0.997350	+2.995745	+18.664049
+0.999117	+0.997353	+2.995764	+18.584490
+0.999118	+0.997356	+2.995783	+18.504931
+0.999119	+0.997359	+2.995801	+18.425372
+0.999120	+0.997362	+2.995820	+18.345813
+0.999121	+0.997365	+2.995838	+18.266253
+0.999122	+0.997368	+2.995856	+18.186694
+0.999123	+0.997371	+2.995874	+18.107135
+0.999124	+0.997374	+2.995892	+18.027576
+0.999125	+0.997377	+2.995910	+17.948017
+0.999126	+0.997380	+2.995928	+17.868458
+0.999127	+0.997383	+2.995946	+17.788899
+0.999128	+0.997386	+2.995964	+17.709339
+0.999129	+0.997389	+2.995981	+17.629780
+0.999130	+0.997392	+2.995999	+17.550221
+0.999131	+0.997395	+2.996016	+17.470662
+0.999132	+0.997398	+2.996034	+17.391103
+0.999133	+0.997401	+2.996051	+17.311544
+0.999134	+0.997404	+2.996069	+17.231984
+0.999135	+0.997407	+2.996086	+17.152425
+0.999136	+0.997410	+2.996103	+17.072866
+0.999137	+0.997413	+2.996120	+16.993307
+0.999138	+0.997416	+2.996137	+16.913748
+0.999139	+0.997419	+2.996154	+16.834189
+0.999140	+0.997422	+2.996171	+16.754630
+0.999141	+0.997425	+2.996187	+16.675070
+0.999142	+0.997428	+2.996204	+16.595511
+0.999143	+0.997431	+2.996220	+16.515952
+0.999144	+0.997434	+2.996237	+16.436393
+0.999145	+0.997437	+2.996253	+16.356834
+0.999146	+0.997440	+2.996270	+16.277275
+0.999147	+0.997443	+2.996286	+16.197716
+0.999148	+0.997446	+2.996302	+16.118156
+0.999149	+0.997449	+2.996318	+16.038597
+0.999150	+0.997452	+2.996334	+15.959038
+0.999151	+0.997455	+2.996350	+15.879479
+0.999152	+0.997458	+2.996366	+15.799920
+0.999153	+0.997461	+2.996382	+15.720361
+0.999154	+0.997464	+2.996397	+15.640802
+0.999155	+0.997467	+2.996413	+15.561242
+0.999156	+0.997470	+2.996428	+15.481683
+0.999157	+0.997473	+2.996444	+15.402124
+0.999158	+0.997476	+2.996459	+15.322565
+0.999159	+0.997479	+2.996474	+15.243006
+0.999160	+0.997482	+2.996490	+15.163447
+0.999161	+0.997485	+2.996505	+15.083887
+0.999162	+0.997488	+2.996520	+15.004328
+0.999163	+0.997491	+2.996535	+14.924769
+0.999164	+0.997494	+2.996550	+14.845210
+0.999165	+0.997497	+2.996565	+14.765651
+0.999166	+0.997500	+2.996579	+14.686092
+0.999167	+0.997503	+2.996594	+14.606533
+0.999168	+0.997506	+2.996608	+14.526973
+0.999169	+0.997509	+2.996623	+14.447414
+0.999170	+0.997512	+2.996637	+14.367855
+0.999171	+0.997515	+2.996652	+14.288296
+0.999172	+0.997518	+2.996666	+14.208737
+0.999173	+0.997521	+2.996680	+14.129178
+0.999174	+0.997524	+2.996694	+14.049619
+0.999175	+0.997527	+2.996708	+13.970059
+0.999176	+0.997530	+2.996722	+13.890500
+0.999177	+0.997533	+2.996736	+13.810941
+0.999178	+0.997536	+2.996750	+13.731382
+0.999179	+0.997539	+2.996763	+13.651823
+0.999180	+0.997542	+2.996777	+13.572264
+0.999181	+0.997545	+2.996791	+13.492705
+0.999182	+0.997548	+2.996804	+13.413145
+0.999183	+0.997551	+2.996817	+13.333586
+0.999184	+0.997554	+2.996831	+13.254027
+0.999185	+0.997557	+2.996844	+13.174468
+0.999186	+0.997560	+2.996857	+13.094909
+0.999187	+0.997563	+2.996870	+13.015350
+0.999188	+0.997566	+2.996883	+12.935790
+0.999189	+0.997569	+2.996896	+12.856231
+0.999190	+0.997572	+2.996909	+12.776672
+0.999191	+0.997575	+2.996922	+12.697113
+0.999192	+0.997578	+2.996934	+12.617554
+0.999193	+0.997581	+2.996947	+12.537995
+0.999194	+0.997584	+2.996959	+12.458436
+0.999195	+0.997587	+2.996972	+12.378876
+0.999196	+0.997590	+2.996984	+12.299317
+0.999197	+0.997593	+2.996996	+12.219758
+0.999198	+0.997596	+2.997008	+12.140199
+0.999199	+0.997599	+2.997021	+12.060640
+0.999200	+0.997602	+2.997033	+11.981081
