a=+0.000000;b=+1.000000;n=+40;h=+0.025000
x	f(x)	f'(x)	f''(x)
+0.000000	+0.000000	-0.000009	+0.000000
+0.010000	-0.000000	+0.000003	+0.002366
+0.020000	+0.000000	+0.000038	+0.004732
+0.030000	+0.000001	+0.000106	+0.010500
+0.040000	+0.000003	+0.000257	+0.019670
+0.050000	+0.000006	+0.000499	+0.028840
+0.060000	+0.000013	+0.000863	+0.043794
+0.070000	+0.000024	+0.001375	+0.058749
+0.080000	+0.000041	+0.002045	+0.076732
+0.090000	+0.000066	+0.002917	+0.097744
+0.100000	+0.000100	+0.004000	+0.118756
+0.110000	+0.000146	+0.005323	+0.145753
+0.120000	+0.000207	+0.006915	+0.172750
+0.130000	+0.000286	+0.008785	+0.202749
+0.140000	+0.000384	+0.010977	+0.235750
+0.150000	+0.000506	+0.013500	+0.268750
+0.160000	+0.000655	+0.016383	+0.307750
+0.170000	+0.000835	+0.019655	+0.346750
+0.180000	+0.001050	+0.023325	+0.388750
+0.190000	+0.001303	+0.027437	+0.433750
+0.200000	+0.001600	+0.032000	+0.478750
+0.210000	+0.001945	+0.037043	+0.529750
+0.220000	+0.002343	+0.042595	+0.580750
+0.230000	+0.002798	+0.048665	+0.634750
+0.240000	+0.003318	+0.055297	+0.691750
+0.250000	+0.003906	+0.062500	+0.748750
+0.260000	+0.004570	+0.070303	+0.811750
+0.270000	+0.005314	+0.078735	+0.874750
+0.280000	+0.006147	+0.087805	+0.940750
+0.290000	+0.007073	+0.097557	+1.009750
+0.300000	+0.008100	+0.108000	+1.078750
+0.310000	+0.009235	+0.119163	+1.153750
+0.320000	+0.010486	+0.131075	+1.228750
+0.330000	+0.011859	+0.143745	+1.306750
+0.340000	+0.013363	+0.157217	+1.387750
+0.350000	+0.015006	+0.171500	+1.468750
+0.360000	+0.016796	+0.186623	+1.555750
+0.370000	+0.018742	+0.202615	+1.642750
+0.380000	+0.020851	+0.219485	+1.732750
+0.390000	+0.023134	+0.237277	+1.825750
+0.400000	+0.025600	+0.256000	+1.918750
+0.410000	+0.028258	+0.275682	+2.017750
+0.420000	+0.031117	+0.296355	+2.116750
+0.430000	+0.034188	+0.318025	+2.218750
+0.440000	+0.037481	+0.340738	+2.323750
+0.450000	+0.041006	+0.364500	+2.428750
+0.460000	+0.044775	+0.389342	+2.539750
+0.470000	+0.048797	+0.415295	+2.650750
+0.480000	+0.053084	+0.442365	+2.764750
+0.490000	+0.057648	+0.470598	+2.881750
+0.500000	+0.062500	+0.500000	+2.998750
+0.510000	+0.067652	+0.530602	+3.121750
+0.520000	+0.073116	+0.562435	+3.244750
+0.530000	+0.078905	+0.595505	+3.370750
+0.540000	+0.085031	+0.629858	+3.499750
+0.550000	+0.091506	+0.665500	+3.628750
+0.560000	+0.098345	+0.702462	+3.763750
+0.570000	+0.105560	+0.740775	+3.898750
+0.580000	+0.113165	+0.780445	+4.036750
+0.590000	+0.121174	+0.821518	+4.177750
+0.600000	+0.129600	+0.864000	+4.318750
+0.610000	+0.138458	+0.907922	+4.465750
+0.620000	+0.147763	+0.953315	+4.612750
+0.630000	+0.157530	+1.000185	+4.762750
+0.640000	+0.167772	+1.048578	+4.915750
+0.650000	+0.178506	+1.098500	+5.068750
+0.660000	+0.189747	+1.149982	+5.227750
+0.670000	+0.201511	+1.203055	+5.386750
+0.680000	+0.213814	+1.257725	+5.548750
+0.690000	+0.226671	+1.314038	+5.713749
+0.700000	+0.240100	+1.372000	+5.878748
+0.710000	+0.254117	+1.431642	+6.049751
+0.720000	+0.268739	+1.492995	+6.220755
+0.730000	+0.283982	+1.556065	+6.394750
+0.740000	+0.299866	+1.620898	+6.571739
+0.750000	+0.316406	+1.687500	+6.748727
+0.760000	+0.333622	+1.755902	+6.931770
+0.770000	+0.351530	+1.826135	+7.114814
+0.780000	+0.370151	+1.898206	+7.300755
+0.790000	+0.389501	+1.972158	+7.489593
+0.800000	+0.409600	+2.047998	+7.678431
+0.810000	+0.430467	+2.125760	+7.874035
+0.820000	+0.452122	+2.205478	+8.069638
+0.830000	+0.474583	+2.287157	+8.266814
+0.840000	+0.497871	+2.370819	+8.465562
+0.850000	+0.522006	+2.456468	+8.664309
+0.860000	+0.547008	+2.544188	+8.879715
+0.870000	+0.572897	+2.634062	+9.095120
+0.880000	+0.599696	+2.726048	+9.293638
+0.890000	+0.627424	+2.819893	+9.475269
+0.900000	+0.656100	+2.915554	+9.656899
+0.910000	+0.685744	+3.013803	+9.992972
+0.920000	+0.716387	+3.115413	+10.329044
+0.930000	+0.748062	+3.219699	+10.391120
+0.940000	+0.780775	+3.322550	+10.179199
+0.950000	+0.814506	+3.423283	+9.967279
+0.960000	+0.849268	+3.532264	+11.828889
+0.970000	+0.885214	+3.659861	+13.690500
+0.980000	+0.922512	+3.796436	+11.697044
+0.990000	+0.960963	+3.884164	+5.848522
